employee_id,age,gender,years_at_company,job_role,monthly_income,work-life_balance,job_satisfaction,performance_rating,number_of_promotions,overtime,distance_from_home,education_level,marital_status,number_of_dependents,job_level,company_size,company_tenure,remote_work,leadership_opportunities,innovation_opportunities,company_reputation,employee_recognition,attrition
52685,36,Male,13,Healthcare,8029,4,3,3,1,Yes,83,Master’s Degree,Married,1,Mid,Large,22,No,No,No,1,2,Stayed
30585,35,Male,7,Education,4563,3,3,3,1,Yes,55,Associate Degree,Single,4,Entry,Medium,27,No,No,No,3,3,Left
54656,50,Male,7,Education,5583,2,3,3,3,Yes,14,Associate Degree,Divorced,2,Senior,Medium,76,No,No,Yes,3,1,Stayed
33442,58,Male,44,Media,5525,2,4,4,0,Yes,43,Master’s Degree,Single,4,Entry,Medium,96,No,No,No,1,1,Left
15667,39,Male,24,Education,4604,3,3,3,0,Yes,47,Master’s Degree,Married,6,Mid,Large,45,Yes,No,No,3,3,Stayed
3496,45,Female,30,Healthcare,8104,2,3,3,0,No,38,Associate Degree,Divorced,0,Senior,Large,75,No,No,No,3,1,Stayed
46775,22,Female,5,Healthcare,8700,3,3,3,0,No,2,High School,Married,0,Mid,Small,48,No,No,No,1,3,Stayed
72645,34,Female,15,Technology,11025,2,2,4,1,No,9,Master’s Degree,Single,4,Entry,Large,16,No,No,No,3,1,Left
4941,48,Female,40,Technology,11452,3,2,2,0,No,65,Associate Degree,Divorced,1,Mid,Large,52,No,No,No,3,2,Stayed
65181,55,Female,16,Media,5939,1,3,3,0,No,31,Associate Degree,Divorced,1,Entry,Small,46,No,No,No,3,3,Stayed
49522,32,Female,12,Healthcare,8144,3,3,2,0,Yes,28,High School,Married,1,Mid,Medium,57,No,No,No,2,2,Stayed
8195,26,Female,15,Finance,4758,3,3,4,2,Yes,35,Bachelor’s Degree,Married,1,Senior,Medium,91,Yes,No,No,3,2,Stayed
52948,45,Female,3,Media,6370,2,2,4,3,No,30,Bachelor’s Degree,Married,3,Senior,Medium,60,No,No,No,3,3,Stayed
35067,42,Male,3,Healthcare,8344,3,4,3,0,No,88,Master’s Degree,Married,0,Mid,Small,14,No,No,No,3,3,Stayed
53650,35,Female,5,Finance,10449,3,4,3,1,No,51,Bachelor’s Degree,Single,0,Entry,Small,69,No,No,No,3,1,Left
